pid,jobs_completed_early,early_feedback_density,mean_gap_min,jobs_started_early,session_len_sum_early,session_len_max_early,jobs_exited_early,credit_mean_early,level_prog_mean_early,session_len_at_completion_mean,campaign_prog_mean,exit_rate_early,retention_7d,retention_14d,retention_30d,early_feedback_density_log
p2090,1,0.0166666666666667,,2,21,19,1,150,0,19,0.02631579,0.5,0,0,0,0.0165293019512106
p2091,3,0.05,25.375,4,91,58,4,214,0.106951185,30.6666666666667,0.0526315783333333,1,1,1,1,0.048790164169432
p2092,1,0.0166666666666667,,2,30,21,1,150,0,21,0.02631579,0.5,0,0,0,0.0165293019512106
p2093,0,0,,1,1,1,1,4,0.18471123,,,1,0,0,0,0
p2094,1,0.0166666666666667,,2,15,13,1,150,0,12,0.02631579,0.5,1,1,1,0.0165293019512106
p2095,1,0.0166666666666667,,2,10,8,1,150,0,8,0.02631579,0.5,0,0,0,0.0165293019512106
p2096,1,0.0166666666666667,,2,19,16,1,150,0,15,0.02631579,0.5,1,0,0,0.0165293019512106
p2097,1,0.0166666666666667,,2,18,12,1,150,0,12,0.02631579,0.5,1,1,1,0.0165293019512106
p2098,1,0.0166666666666667,,2,18,16,1,150,0,15,0.02631579,0.5,1,1,1,0.0165293019512106
p2099,3,0.05,25.8916666666667,3,62,55,2,350,0,38.6666666666667,0.0526315783333333,0.666666666666667,1,1,1,0.048790164169432
p21,1,0.0166666666666667,,2,10,9,2,184,0.08182816,8,0.02631579,1,0,0,0,0.0165293019512106
p210,2,0.0333333333333333,38.2833333333333,2,6,5,1,150,0,24,0.039473685,0.5,0,0,0,0.0327898228229909
p2100,1,0.0166666666666667,,2,11,9,2,31,0.14986792,8,0.02631579,1,0,0,0,0.0165293019512106
p2102,2,0.0333333333333333,16.2,4,50,26,3,158.333333333333,0,17.5,0.02631579,0.75,1,0,0,0.0327898228229909
p2103,3,0.05,21.95,4,108,51,3,475,0,35.3333333333333,0.0526315783333333,0.75,1,1,1,0.048790164169432
p2104,1,0.0166666666666667,,2,25,18,1,150,0,17,0.02631579,0.5,1,1,1,0.0165293019512106
p2105,1,0.0166666666666667,,2,8,7,1,150,0,7,0.02631579,0.5,1,1,1,0.0165293019512106
p2106,1,0.0166666666666667,,2,12,10,1,150,0,9,0.02631579,0.5,0,0,0,0.0165293019512106
p2108,1,0.0166666666666667,,1,1,1,1,150,1,9,0.02631579,1,1,1,0,0.0165293019512106
p2109,1,0.0166666666666667,,2,6,5,1,150,0,5,0.02631579,0.5,1,1,1,0.0165293019512106
p211,11,0.183333333333333,4.64333333333333,6,151.280000000001,53,6,8260.32948996292,0,41.3333333333333,0.129561403322221,0.916666666666667,1,1,0,0.168335314819215
p2110,4,0.0666666666666667,9.67777777777778,5,80,35,4,662.5,0,19,0.06578947375,0.8,1,1,1,0.0645385211375712
p2113,1,0.0166666666666667,,2,8,7,2,223.5,0.182137,7,0.02631579,1,1,1,1,0.0165293019512106
p2114,1,0.0166666666666667,,2,15,12,2,71,0.10203421,11,0.02631579,1,1,1,1,0.0165293019512106
p2116,0,0,,1,2,2,1,40,0.880102,,,1,1,1,1,0
p2117,2,0.0333333333333333,43.25,3,61,52,2,375,0,30.5,0.039473685,0.666666666666667,1,1,0,0.0327898228229909
p2119,1,0.0166666666666667,,2,8,7,2,307,0.38371098,7,0.02631579,1,0,0,0,0.0165293019512106
p212,1,0.0166666666666667,,2,17,13,2,113.5,0.19843696,12,0.02631579,1,0,0,0,0.0165293019512106
p2120,3,0.05,21.7083333333333,4,107,51,4,525,0,35,0.0526315783333333,1,1,1,1,0.048790164169432
p2121,1,0.0166666666666667,,2,22,18,2,172.5,0.086597265,17,0.02631579,1,1,0,0,0.0165293019512106
p2122,1,0.0166666666666667,,2,48,29,1,150,0,26,0.02631579,0.5,1,1,1,0.0165293019512106
p2123,1,0.0166666666666667,,2,38,24,1,150,0,21,0.02631579,0.5,0,0,0,0.0165293019512106
p2124,2,0.0333333333333333,49.1666666666667,2,10,9,1,150,0,33.5,0.039473685,0.5,1,1,1,0.0327898228229909
p2125,2,0.0333333333333333,19,3,48,31,3,212.333333333333,0.08411646,24.5,0.039473685,1,1,1,1,0.0327898228229909
p2126,1,0.0166666666666667,,2,12,9,1,150,0,9,0.02631579,0.5,1,1,0,0.0165293019512106
p2127,2,0.0333333333333333,40.4666666666667,2,8,6,2,375,0.5,26,0.039473685,1,1,1,1,0.0327898228229909
p2128,1,0.0166666666666667,,2,26,19,1,15,,17,0,0.5,1,1,1,0.0165293019512106
p2129,1,0.0166666666666667,,2,11,10,1,150,0,10,0.02631579,0.5,1,1,1,0.0165293019512106
p213,1,0.0166666666666667,,1,1,1,1,150,1,9,0.02631579,1,1,0,0,0.0165293019512106
p2130,1,0.0166666666666667,,2,12,11,1,150,0,11,0.02631579,0.5,1,1,1,0.0165293019512106
p2132,1,0.0166666666666667,,2,13,10,2,199,0.13876739,8,0.02631579,1,0,0,0,0.0165293019512106
p2133,1,0.0166666666666667,,2,12,11,2,178,0.09898477,10,0.02631579,1,1,1,1,0.0165293019512106
p2134,1,0.0166666666666667,,2,45,27,1,150,0,27,0.02631579,0.5,1,1,1,0.0165293019512106
p2135,1,0.0166666666666667,,2,13,12,1,150,0,9,0.02631579,0.5,1,0,0,0.0165293019512106
p2136,2,0.0333333333333333,5.05,3,22,14,3,231.333333333333,0.29774799,10.5,0.013157895,1,0,0,0,0.0327898228229909
p2137,0,0,,1,1,1,0,,,,,0,0,0,0,0
p2138,1,0.0166666666666667,,2,13,11,1,150,0,10,0.02631579,0.5,1,1,0,0.0165293019512106
p2139,2,0.0333333333333333,39.3666666666667,3,56,47,2,375,0,26.5,0.039473685,0.666666666666667,0,0,0,0.0327898228229909
p214,1,0.0166666666666667,,2,5,5,2,177,0.06895019,5,0.02631579,1,0,0,0,0.0165293019512106
p2140,1,0.0166666666666667,,2,31,30,1,150,0,29,0.02631579,0.5,0,0,0,0.0165293019512106
p2141,1,0.0166666666666667,,2,8,6,2,204.5,0.204339235,6,0.02631579,1,1,1,1,0.0165293019512106
p2142,1,0.0166666666666667,,2,13,12,1,60,0,9,0.02631579,0.5,1,1,1,0.0165293019512106
p2143,1,0.0166666666666667,,2,10,9,2,150,0.00141051215,8,0.02631579,1,0,0,0,0.0165293019512106
p2144,2,0.0333333333333333,46.75,3,61,54,3,450,0,30.5,0.039473685,1,1,1,1,0.0327898228229909
p2145,1,0.0166666666666667,,2,21,18,2,176.5,0.097652085,16,0.02631579,1,1,1,1,0.0165293019512106
p2146,1,0.0166666666666667,,2,7,6,1,150,0,5,0.02631579,0.5,0,0,0,0.0165293019512106
p2147,1,0.0166666666666667,,2,9,8,1,125,0,7,0.02631579,0.5,1,1,1,0.0165293019512106
p2148,2,0.0333333333333333,40.3166666666667,2,9,7,2,375,0.5,26,0.039473685,1,0,0,0,0.0327898228229909
p215,1,0.0166666666666667,,2,8,8,1,150,0,7,0.02631579,0.5,0,0,0,0.0165293019512106
p2150,2,0.0333333333333333,44.25,3,67,59,2,362.5,0,28.5,0.039473685,0.666666666666667,1,1,1,0.0327898228229909
p2151,1,0.0166666666666667,,2,5,5,2,169.5,0.17512852,5,0.02631579,1,1,1,1,0.0165293019512106
p2152,3,0.05,25.7416666666667,4,123,59,3,221.666666666667,0,40.3333333333333,0.0526315783333333,0.75,1,1,1,0.048790164169432
p2153,1,0.0166666666666667,,2,12,10,2,77.5,0.0329854975,9,0.02631579,1,0,0,0,0.0165293019512106
p2154,1,0.0166666666666667,,2,6,6,2,246.5,0.2806454,5,0.02631579,1,0,0,0,0.0165293019512106
p2155,1,0.0166666666666667,,2,14,12,1,150,0,11,0.02631579,0.5,1,1,1,0.0165293019512106
p2156,3,0.05,19.0166666666667,4,93,44,3,458.333333333333,0,30.3333333333333,0.0526315783333333,0.75,0,0,0,0.048790164169432
p2157,1,0.0166666666666667,,2,11,9,2,158.5,0.03256126,8,0.02631579,1,0,0,0,0.0165293019512106
p2158,0,0,,1,2,2,0,,,,,0,1,1,1,0
p2159,1,0.0166666666666667,,2,16,14,2,260.5,0.29119757,13,0.02631579,1,0,0,0,0.0165293019512106
p216,2,0.0333333333333333,43.0833333333333,3,57,47,3,342.333333333333,0.333333333333333,30.5,0.039473685,1,1,1,1,0.0327898228229909
p2160,1,0.0166666666666667,,2,11,10,2,180,0.059542435,10,0.02631579,1,0,0,0,0.0165293019512106
p2161,0,0,,1,0,0,0,,,,,0,1,1,1,0
p2163,1,0.0166666666666667,,2,5,4,2,245,0.2048264,4.9225,0.02631579,1,1,1,1,0.0165293019512106
p2164,1,0.0166666666666667,,1,2,2,1,150,1,11,0.02631579,1,0,0,0,0.0165293019512106
p2166,1,0.0166666666666667,,2,9,8,2,157.5,0.032712215,6,0.02631579,1,0,0,0,0.0165293019512106
p2167,0,0,,1,2,2,1,47,0.09485408,,,1,0,0,0,0
p2168,2,0.0333333333333333,9.73333333333333,2,14,12,2,90,0.5,17,0.013157895,1,0,0,0,0.0327898228229909
p2169,1,0.0166666666666667,,2,14,12,2,177,0.058541945,12,0.02631579,1,1,1,1,0.0165293019512106
p217,2,0.0333333333333333,50.0833333333333,2,8,7,2,362.5,0.5,32,0.039473685,1,1,1,1,0.0327898228229909
p2170,1,0.0166666666666667,,1,1,1,1,150,1,12,0.02631579,1,0,0,0,0.0165293019512106
p2171,1,0.0166666666666667,,1,1,1,1,150,1,6,0.02631579,1,0,0,0,0.0165293019512106
p2172,1,0.0166666666666667,,2,12,11,1,150,0,10,0.02631579,0.5,1,1,1,0.0165293019512106
p2173,2,0.0333333333333333,25.75,3,45,33,3,148.333333333333,0.0788733066666667,23,0.039473685,1,1,1,1,0.0327898228229909
p2174,1,0.0166666666666667,,2,12,10,1,150,0,9,0.02631579,0.5,0,0,0,0.0165293019512106
p2175,3,0.05,21.725,3,55,47,3,475,0.333333333333333,33.6666666666667,0.0526315783333333,1,0,0,0,0.048790164169432
p2176,0,0,,1,2,2,0,,,,,0,1,1,1,0
p2177,2,0.0333333333333333,12.8666666666667,3,51,30,2,157.5,0,22.5,0.02631579,0.666666666666667,0,0,0,0.0327898228229909
p2178,1,0.0166666666666667,,2,7,6,1,150,0,6,0.02631579,0.5,1,1,1,0.0165293019512106
p2179,1,0.0166666666666667,,2,13,11,1,150,0,11,0.02631579,0.5,1,1,1,0.0165293019512106
p218,1,0.0166666666666667,,1,2,2,1,150,1,10,0.02631579,1,1,1,0,0.0165293019512106
p2180,1,0.0166666666666667,,2,5,4,2,211,0.15854597,4.9225,0.02631579,1,0,0,0,0.0165293019512106
p2181,3,0.05,24.6,4,120,57,3,8260.32948996292,0,38.6666666666667,0.0526315783333333,0.75,1,1,1,0.048790164169432
p2183,1,0.0166666666666667,,2,8,7,2,292,0.375251085,7,0.02631579,1,1,1,0,0.0165293019512106
p2184,2,0.0333333333333333,51.05,3,66,57,2,375,0,31.5,0.039473685,0.666666666666667,0,0,0,0.0327898228229909
p2185,2,0.0333333333333333,35.5,2,9,7,2,330,0.5,25,0.039473685,1,1,0,0,0.0327898228229909
p2186,1,0.0166666666666667,,2,10,9,2,191,0.12724477,9,0.02631579,1,1,1,1,0.0165293019512106
p2187,2,0.0333333333333333,36.2666666666667,2,5,5,2,375,0.5,23,0.039473685,1,0,0,0,0.0327898228229909
p2188,1,0.0166666666666667,,2,14,11,1,150,0,10,0.02631579,0.5,0,0,0,0.0165293019512106
p2189,1,0.0166666666666667,,2,5,5,2,196,0.15661945,4.9225,0.02631579,1,1,1,1,0.0165293019512106
p219,1,0.0166666666666667,,2,9,8,2,176,0.08423301,8,0.02631579,1,1,1,1,0.0165293019512106
p2190,1,0.0166666666666667,,2,11,11,1,150,0,10,0.02631579,0.5,1,1,1,0.0165293019512106
p2192,2,0.0333333333333333,9.65,3,25,17,2,157.5,,11,0.02631579,0.666666666666667,0,0,0,0.0327898228229909
p2193,4,0.0666666666666667,14.3055555555556,5,118,50,4,371.25,0,29,0.03947368375,0.8,0,0,0,0.0645385211375712
p2194,3,0.05,24.9,4,117,56,3,475,0,38.6666666666667,0.0526315783333333,0.75,1,1,1,0.048790164169432
p2195,1,0.0166666666666667,,2,8,7,2,92,0.044206625,6,0.02631579,1,1,1,1,0.0165293019512106
p2196,0,0,,1,56,56,0,,,,,0,0,0,0,0
p2197,2,0.0333333333333333,48.8333333333333,3,70,59,2,375,0,33.5,0.039473685,0.666666666666667,1,1,0,0.0327898228229909
p2198,1,0.0166666666666667,,2,10,9,1,150,0,8,0.02631579,0.5,1,0,0,0.0165293019512106
p2199,3,0.05,24.3583333333333,4,114,55,3,475,0,37.6666666666667,0.0526315783333333,0.75,1,1,1,0.048790164169432
p22,3,0.05,16.3833333333333,4,80,38,3,365,0,26.3333333333333,0.0526315783333333,0.75,1,0,0,0.048790164169432
p220,1,0.0166666666666667,,2,11,11,1,150,0,11,0.02631579,0.5,1,1,1,0.0165293019512106
p2200,1,0.0166666666666667,,2,5,5,2,216,0.1347291,5,0.02631579,1,1,1,1,0.0165293019512106
p2201,1,0.0166666666666667,,2,20,17,1,60,0,9,0.02631579,0.5,1,0,0,0.0165293019512106
p2204,3,0.05,21.6666666666667,4,123,54,3,315,0,39,0.0526315783333333,0.75,1,1,1,0.048790164169432
p2205,3,0.05,20.95,4,111,51,3,475,0,36,0.0526315783333333,0.75,1,1,1,0.048790164169432
p2206,1,0.0166666666666667,,2,18,15,1,150,0,12,0.02631579,0.5,1,1,1,0.0165293019512106
p2207,1,0.0166666666666667,,2,14,12,2,119.5,0.04116832,11,0.02631579,1,1,1,1,0.0165293019512106
p2208,3,0.05,21.6916666666667,4,76,50,4,344.5,0.08635576,25.3333333333333,0.0526315783333333,1,1,1,1,0.048790164169432
p2209,1,0.0166666666666667,,2,15,14,1,150,0,14,0.02631579,0.5,1,1,0,0.0165293019512106
p221,1,0.0166666666666667,,2,23,21,1,150,0,21,0.02631579,0.5,0,0,0,0.0165293019512106
p2210,1,0.0166666666666667,,2,11,10,1,150,0,10,0.02631579,0.5,1,1,1,0.0165293019512106
p2211,5,0.0833333333333333,2.7375,6,68,17,6,8260.32948996292,0.166598983333333,12.4,0.078947369,1,0,0,0,0.0800427076735364
p2212,3,0.05,22.35,5,151.280000000001,54,4,452,0,34.3333333333333,0.0526315783333333,0.8,0,0,0,0.048790164169432
p2213,1,0.0166666666666667,,2,8,7,2,183.5,0.254202575,6,0.02631579,1,0,0,0,0.0165293019512106
p2214,1,0.0166666666666667,,2,11,10,1,150,0,9,0.02631579,0.5,1,1,1,0.0165293019512106
p2215,1,0.0166666666666667,,2,15,11,1,150,0,11,0.02631579,0.5,1,1,1,0.0165293019512106
p2216,3,0.05,22.75,4,107,52,3,465,0,35.3333333333333,0.0526315783333333,0.75,1,1,1,0.048790164169432
p2218,1,0.0166666666666667,,1,1,1,1,150,1,7,0.02631579,1,0,0,0,0.0165293019512106
p2219,2,0.0333333333333333,39.8,2,8,7,2,375,0.5,27,0.039473685,1,0,0,0,0.0327898228229909
p222,3,0.05,26.375,3,66,57,2,375,0,41,0.0526315783333333,0.666666666666667,0,0,0,0.048790164169432
p2220,1,0.0166666666666667,,2,12,11,1,150,0,11,0.02631579,0.5,1,1,1,0.0165293019512106
p2221,1,0.0166666666666667,,2,17,15,2,200,0.10344574,14,0.02631579,1,1,1,1,0.0165293019512106
p2222,1,0.0166666666666667,,1,1,1,1,150,1,5,0.02631579,1,0,0,0,0.0165293019512106
p2223,1,0.0166666666666667,,2,8,8,1,10,0,7,0.02631579,0.5,1,1,1,0.0165293019512106
p2224,0,0,,1,1,1,1,2,0.45733994,,,1,0,0,0,0
p2225,1,0.0166666666666667,,1,1,1,1,150,1,6,0.02631579,1,1,1,1,0.0165293019512106
p2226,1,0.0166666666666667,,2,11,10,2,187,0.10301937,9,0.02631579,1,1,1,1,0.0165293019512106
p2228,1,0.0166666666666667,,1,1,1,1,150,1,8,0.02631579,1,0,0,0,0.0165293019512106
p2229,3,0.05,19.9666666666667,3,53,45,3,431.666666666667,0.333333333333333,32,0.0526315783333333,1,0,0,0,0.048790164169432
p2230,1,0.0166666666666667,,2,13,12,2,203,0.16549441,10,0.02631579,1,1,1,1,0.0165293019512106
p2231,2,0.0333333333333333,10.8833333333333,3,45,27,2,90,0,20.5,0.013157895,0.666666666666667,0,0,0,0.0327898228229909
p2232,1,0.0166666666666667,,2,15,14,2,156,0,13,0.02631579,1,0,0,0,0.0165293019512106
p2233,1,0.0166666666666667,,2,9,7,2,186,0.22554603,6,0.02631579,1,0,0,0,0.0165293019512106
p2234,3,0.05,17.2083333333333,4,94,43,3,458.333333333333,0,30.3333333333333,0.0526315783333333,0.75,1,1,1,0.048790164169432
p2235,3,0.05,22.9083333333333,4,124,57,3,385,0,39,0.0526315783333333,0.75,1,1,1,0.048790164169432
p2236,1,0.0166666666666667,,2,8,8,1,150,0,7,0.02631579,0.5,0,0,0,0.0165293019512106
p2237,1,0.0166666666666667,,2,16,15,1,150,0,14,0.02631579,0.5,0,0,0,0.0165293019512106
p2238,1,0.0166666666666667,,2,15,14,2,150,0.0048463235,13,0.02631579,1,1,1,1,0.0165293019512106
p2239,2,0.0333333333333333,49.45,3,70,59,2,375,0,33.5,0.039473685,0.666666666666667,1,1,1,0.0327898228229909
p224,2,0.0333333333333333,49.5666666666667,3,67,57,2,375,0,32,0.039473685,0.666666666666667,1,1,1,0.0327898228229909
p2240,1,0.0166666666666667,,1,1,1,1,150,1,8,0.02631579,1,0,0,0,0.0165293019512106
p2242,3,0.05,18.925,4,95,45,3,435,0,30.3333333333333,0.0526315783333333,0.75,1,0,0,0.048790164169432
p2244,1,0.0166666666666667,,2,6,5,1,150,0,5,0.02631579,0.5,0,0,0,0.0165293019512106
p2245,3,0.05,21.3166666666667,4,96,47,3,475,0,31.6666666666667,0.0526315783333333,0.75,0,0,0,0.048790164169432
p2246,1,0.0166666666666667,,2,40,38,2,75,0,38,0.02631579,1,0,0,0,0.0165293019512106
p2247,1,0.0166666666666667,,1,1,1,1,150,1,7,0.02631579,1,0,0,0,0.0165293019512106
p2248,1,0.0166666666666667,,2,10,9,2,151.5,0.0177750385,8,0.02631579,1,1,1,1,0.0165293019512106
p2249,1,0.0166666666666667,,2,13,10,1,150,0,9,0.02631579,0.5,0,0,0,0.0165293019512106
p225,2,0.0333333333333333,8.98333333333333,3,34,21,3,89,0.0453556833333333,15.5,0.013157895,1,0,0,0,0.0327898228229909
p2250,3,0.05,24.7083333333333,4,117,56,3,475,0,38.6666666666667,0.0526315783333333,0.75,0,0,0,0.048790164169432
p2252,1,0.0166666666666667,,2,21,18,1,150,0,13,0.02631579,0.5,1,1,1,0.0165293019512106
p2253,3,0.05,15.9166666666667,4,57,37,4,344.5,0.050372905,18.3333333333333,0.0526315783333333,1,1,1,1,0.048790164169432
p2254,1,0.0166666666666667,,2,8,7,2,210,0.38643395,7,0.02631579,1,0,0,0,0.0165293019512106
p2255,1,0.0166666666666667,,1,1,1,1,150,1,7,0.02631579,1,0,0,0,0.0165293019512106
p2256,1,0.0166666666666667,,1,26,26,1,150,1,33,0.02631579,1,1,1,1,0.0165293019512106
p2257,1,0.0166666666666667,,2,13,11,2,112,0.03280337,11,0.02631579,1,0,0,0,0.0165293019512106
p2258,1,0.0166666666666667,,1,1,1,1,150,1,8,0.02631579,1,1,0,0,0.0165293019512106
p2259,1,0.0166666666666667,,2,8,8,1,150,0,7,0.02631579,0.5,1,1,1,0.0165293019512106
p226,2,0.0333333333333333,49.15,3,72,59,2,145,0,34,0.039473685,0.666666666666667,0,0,0,0.0327898228229909
p2260,1,0.0166666666666667,,2,13,10,1,150,0,10,0.02631579,0.5,1,1,0,0.0165293019512106
p2261,1,0.0166666666666667,,2,8,7,1,150,0,7,0.02631579,0.5,1,1,0,0.0165293019512106
p2262,1,0.0166666666666667,,2,12,10,2,169.5,0.039195555,10,0.02631579,1,0,0,0,0.0165293019512106
p2263,1,0.0166666666666667,,1,27,27,2,205,0.24241154,27,0.02631579,2,0,0,0,0.0165293019512106
p2264,3,0.05,17.325,4,88,41,3,460,0,28.6666666666667,0.0526315783333333,0.75,0,0,0,0.048790164169432
p2265,1,0.0166666666666667,,2,19,18,1,150,0,18,0.02631579,0.5,0,0,0,0.0165293019512106
p2266,2,0.0333333333333333,37.2666666666667,2,22,13,2,375,0.5,31.5,0.039473685,1,1,1,0,0.0327898228229909
p2267,1,0.0166666666666667,,2,3,3,2,1461.5,0.20317669,4.9225,0.129561403322221,1,0,0,0,0.0165293019512106
p2268,1,0.0166666666666667,,2,12,11,1,150,0,10,0.02631579,0.5,1,1,1,0.0165293019512106
p2269,2,0.0333333333333333,47.7166666666667,3,71,59,2,235,0,33.5,0.039473685,0.666666666666667,0,0,0,0.0327898228229909
p227,1,0.0166666666666667,,2,11,10,1,150,0,9,0.02631579,0.5,0,0,0,0.0165293019512106
p2270,1,0.0166666666666667,,2,39,26,1,35,0,23,0.02631579,0.5,1,1,0,0.0165293019512106
p2271,3,0.05,26.075,4,125,59,3,391.666666666667,0,40.3333333333333,0.0526315783333333,0.75,1,1,1,0.048790164169432
p2272,1,0.0166666666666667,,2,8,7,2,150,0,6,0.02631579,1,1,1,1,0.0165293019512106
p2273,1,0.0166666666666667,,2,9,8,1,10,0,6,0.02631579,0.5,0,0,0,0.0165293019512106
p2274,3,0.05,25.2083333333333,4,123,58,3,475,0,40,0.0526315783333333,0.75,0,0,0,0.048790164169432
p2275,1,0.0166666666666667,,2,17,16,1,150,0,15,0.02631579,0.5,0,0,0,0.0165293019512106
p2276,2,0.0333333333333333,7.05,3,35,20,2,90,0,15.5,0.013157895,0.666666666666667,0,0,0,0.0327898228229909
p2277,1,0.0166666666666667,,2,8,8,1,150,0,6,0.02631579,0.5,0,0,0,0.0165293019512106
p2278,1,0.0166666666666667,,2,9,9,2,152,0.005885934,8,0.02631579,1,0,0,0,0.0165293019512106
p2279,1,0.0166666666666667,,2,9,8,1,150,0,8,0.02631579,0.5,0,0,0,0.0165293019512106
p228,1,0.0166666666666667,,2,1,1,1,150,1,6,0.02631579,0.5,1,0,0,0.0165293019512106
p2280,1,0.0166666666666667,,2,8,7,2,278.5,0.3648515,7,0.02631579,1,0,0,0,0.0165293019512106
p2281,1,0.0166666666666667,,2,55,31,2,119.5,0.052135175,29,0.02631579,1,0,0,0,0.0165293019512106
p2282,1,0.0166666666666667,,2,19,17,1,150,0,10,0.02631579,0.5,1,1,1,0.0165293019512106
p2283,1,0.0166666666666667,,2,11,11,1,150,0,10,0.02631579,0.5,1,1,1,0.0165293019512106
p2284,3,0.05,23.1333333333333,3,22,14,3,310,0.5,24,0.03508772,1,1,1,1,0.048790164169432
p2285,1,0.0166666666666667,,2,7,6,2,254.5,0.20850751,6,0.02631579,1,0,0,0,0.0165293019512106
p2286,1,0.0166666666666667,,2,9,8,2,150,0.00602614275,6,0.02631579,1,1,1,1,0.0165293019512106
p2287,1,0.0166666666666667,,2,8,7,1,150,0,7,0.02631579,0.5,1,1,1,0.0165293019512106
p2289,4,0.0666666666666667,15.25,4,41,19,4,262.5,0.5,22.25,0.0328947375,1,1,1,1,0.0645385211375712
p229,1,0.0166666666666667,,2,10,9,1,135,0,7,0.02631579,0.5,1,1,1,0.0165293019512106
p2290,1,0.0166666666666667,,1,1,1,1,60,1,8,0.02631579,1,0,0,0,0.0165293019512106
p2291,1,0.0166666666666667,,2,11,9,2,215.5,0.2508066,8,0.02631579,1,0,0,0,0.0165293019512106
p2292,1,0.0166666666666667,,2,11,9,1,150,0,8,0.02631579,0.5,1,1,1,0.0165293019512106
p2293,1,0.0166666666666667,,2,12,7,2,83.5,0.3412769,6,0.02631579,1,1,1,1,0.0165293019512106
p2294,2,0.0333333333333333,48.1166666666667,3,62,55,2,375,0,29.5,0.039473685,0.666666666666667,0,0,0,0.0327898228229909
p2295,1,0.0166666666666667,,2,6,6,2,115,0.20179546,6,0.02631579,1,1,1,1,0.0165293019512106
p2296,1,0.0166666666666667,,2,11,10,1,150,0,10,0.02631579,0.5,0,0,0,0.0165293019512106
p2298,1,0.0166666666666667,,1,3,3,1,150,1,8,0.02631579,1,1,1,1,0.0165293019512106
p2299,3,0.05,21.6833333333333,4,110,52,3,415,0,35.6666666666667,0.0526315783333333,0.75,1,1,1,0.048790164169432
p23,3,0.05,15.5833333333333,4,78,38,3,475,0,25,0.0526315783333333,0.75,0,0,0,0.048790164169432
p230,1,0.0166666666666667,,2,11,10,3,115.333333333333,0.0334862266666667,9,0.02631579,1.5,0,0,0,0.0165293019512106
p2300,1,0.0166666666666667,,2,18,12,1,150,0,11,0.02631579,0.5,1,1,0,0.0165293019512106
p2301,1,0.0166666666666667,,1,1,1,1,150,1,7,0.02631579,1,0,0,0,0.0165293019512106
p2302,1,0.0166666666666667,,2,15,14,2,208.5,0.2000572,12,0.02631579,1,0,0,0,0.0165293019512106
p2303,1,0.0166666666666667,,2,16,13,2,171,0.06965435,12,0.02631579,1,1,1,1,0.0165293019512106
p2304,1,0.0166666666666667,,2,12,9,2,150,0,8,0.02631579,1,0,0,0,0.0165293019512106
p2305,1,0.0166666666666667,,2,8,8,1,150,0,8,0.02631579,0.5,0,0,0,0.0165293019512106
p2306,4,0.0666666666666667,5.35555555555556,5,20,11,6,8260.32948996292,0.0544845066666667,4.9225,0.06578947375,1.2,0,0,0,0.0645385211375712
p2307,1,0.0166666666666667,,2,9,8,2,185.5,0.16768985,7,0.02631579,1,0,0,0,0.0165293019512106
p2308,1,0.0166666666666667,,2,13,10,1,150,0,9,0.02631579,0.5,1,1,1,0.0165293019512106
p2309,1,0.0166666666666667,,2,12,11,2,175.5,0.0594758725,6,0.02631579,1,1,1,1,0.0165293019512106
p231,1,0.0166666666666667,,1,1,1,1,150,1,6,0.02631579,1,0,0,0,0.0165293019512106
p2311,1,0.0166666666666667,,1,1,1,1,150,1,4.9225,0.02631579,1,0,0,0,0.0165293019512106
p2312,1,0.0166666666666667,,2,24,18,1,150,0,18,0.02631579,0.5,0,0,0,0.0165293019512106
p2313,3,0.05,21.975,3,29,22,4,235.75,0.337731205,26.6666666666667,0.0526315783333333,1.33333333333333,1,1,1,0.048790164169432
p2314,3,0.05,22.2916666666667,4,108,52,3,415,0,35.3333333333333,0.0526315783333333,0.75,1,1,0,0.048790164169432
p2315,2,0.0333333333333333,38.2166666666667,2,9,7,2,375,0.5,26,0.039473685,1,1,1,1,0.0327898228229909
p2316,1,0.0166666666666667,,2,8,7,1,150,0,7,0.02631579,0.5,0,0,0,0.0165293019512106
p2317,1,0.0166666666666667,,2,10,9,1,150,0,7,0.02631579,0.5,1,1,1,0.0165293019512106
p2318,0,0,,1,0,0,0,,,,,0,0,0,0,0
p2319,1,0.0166666666666667,,2,7,6,2,188.5,0.10273525,6,0.02631579,1,0,0,0,0.0165293019512106
p2320,0,0,,1,49,49,0,,,,,0,0,0,0,0
p2321,1,0.0166666666666667,,2,14,11,1,60,0,9,0.02631579,0.5,1,1,1,0.0165293019512106
p2322,3,0.05,21.9083333333333,4,83,42,2,637.5,0,28.6666666666667,0.0526315783333333,0.5,1,0,0,0.048790164169432
p2323,2,0.0333333333333333,38.4666666666667,3,58,46,4,356.75,0.25423836,29,0.039473685,1.33333333333333,0,0,0,0.0327898228229909
p2324,1,0.0166666666666667,,2,17,12,1,60,0,11,0.02631579,0.5,1,1,1,0.0165293019512106
p2325,1,0.0166666666666667,,1,1,1,1,150,1,13,0.02631579,1,0,0,0,0.0165293019512106
p2326,1,0.0166666666666667,,2,51,49,1,150,0,14,0.02631579,0.5,1,1,1,0.0165293019512106
p2327,2,0.0333333333333333,44.25,2,9,8,2,330,0.5,30,0.039473685,1,0,0,0,0.0327898228229909
p2328,3,0.05,20.175,4,102,48,4,442.5,0,33,0.0526315783333333,1,1,1,1,0.048790164169432
